"Kingdom","Phylum","Class","Order","Family","Genus","Rank7","Rank8","Species","Rho"
"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","env.OPS_17","unclassified",NA,NA,"Otu00149",0.336453719267365
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betIII","betIII-A","betIII-A1","unclassified","Otu00154",-0.417802723314345
"Bacteria","Chlorobi","Chlorobia","Chlorobiales","OPB56","unclassified",NA,NA,"Otu00159",0.341331039603377
"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","acIV","unclassified","unclassified","unclassified","Otu00168",0.329781885128551
"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacVI","unclassified","unclassified","unclassified","Otu00181",0.422192887158843
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","unclassified",NA,NA,"Otu00185",-0.40089850615588
"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","0319-6G20","unclassified",NA,NA,"Otu00189",0.414415724560936
"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Blastopirellula",NA,NA,"Otu00213",0.341771579179491
"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacI","unclassified","unclassified","unclassified","Otu00225",0.421013042431102
"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacVI","unclassified","unclassified","unclassified","Otu00237",0.410432063163668
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","unclassified",NA,NA,"Otu00238",-0.499783858779218
"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacVI","bacVI-B","Pedo","unclassified","Otu00361",-0.336162160178427
"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacI","unclassified","unclassified","unclassified","Otu00822",0.323902589240484
